label	definition	caption
female speech	The vocalizations produced by women, characterized by distinct pitch, tone, and rhythm.	
Broadband noise, e.g. household appliances	A type of noise that covers a wide range of frequencies, often produced by household appliances such as washing machines, dryers, and dishwashers.	
Hi-hat	A percussion instrument that produces a high-pitched, metallic sound, often used in electronic and dance music.	
Cutlery_and_silverware	The clinking and clattering sounds produced by cutlery and silverware when they are struck against each other, often accompanied by the sound of dishes clattering.	
Mechanical fan	The steady, rhythmic sound produced by a mechanical fan as it rotates, often characterized by a low hum or buzz.	
Insect	The buzzing, chirping, or clicking sounds produced by insects, often accompanied by the sound of their wings or legs as they fly or move.	
Chirp_and_tweet	The high-pitched vocalizations produced by birds, often characterized by distinct patterns and rhythms.	
Talking	The vocalizations produced by humans for communication, characterized by a wide range of pitches, tones, and rhythms.	
male speech	The vocalizations produced by male humans for communication, characterized by a distinct pitch and tone.	
Door,  open or close	The sound of a door opening or closing, characterized by a creaking or squeaking noise.	
Chink_and_clink	The sound of metal striking metal, often produced by a car's bumper or a piece of jewelry.	
Reverse beeper	The sound of a car's reverse beeper, typically a high-pitched, continuous noise that warns of an impending collision.	
Sneeze	A sudden, sharp sound produced by the forceful expulsion of air from the nose, characterized by a high-pitched, short burst of sound.	
Ringtone	A melodic or rhythmic sound produced by a device to signal an incoming call, message, or notification, often characterized by a distinct melody or pattern.	
Child_speech_and_kid_speaking	The high-pitched, rapid vocalizations produced by children, often characterized by their unique intonation and pronunciation.	
Chime	The short, ringing sound produced by a set of metal bars struck together, often used in religious ceremonies or as a signal.	
Whoosh, swoosh, swish	The sound produced by the movement of air over a surface, often characterized by its soft, continuous quality, such as the sound of wind blowing through leaves or the rustling of paper.	
Male_speech_and_man_speaking	The sound of a man's voice, characterized by its pitch, tone, and rhythm.	
Exhaust brake	The sound of a vehicle's exhaust brake, characterized by its high-pitched squeal and rapid, rhythmic tapping.	
pig	The sound of a pig, characterized by its grunts, snorts, and squeals, often used to communicate with other pigs or to express fear or aggression.	
Trickle, dribble	A continuous, steady sound of liquid flowing or dripping, characterized by its softness and rhythmic pattern.	
Chuckle, chortle	A light, short burst of laughter characterized by its high-pitched, bubbling sound.	
Percussion	The sharp, resonant sounds produced by striking or shaking objects, often used in music and other forms of audio art.	
Liquid	The continuous, flowing sound produced by the movement of liquid, characterized by its rhythmic, splashing quality.	
Shouting	The loud, high-pitched vocalizations produced by forcefully expelling air from the lungs, often used for communication or expression.	
Dishes_and_pots_and_pans	The clinking and clattering sounds produced by dishes, pots, and pans when they are being washed, dried, or cooked.	
cat meowing	The soft, melodic vocalizations produced by cats, often characterized by their rhythmic, repetitive patterns.	
Sink_(filling_or_washing)	The sound of water filling or washing dishes, characterized by its continuous, splashing rhythm.	
Domestic sounds, home sounds	A collection of sounds produced within a household, including appliances, furniture, and people.	
dog_barking	The loud, high-pitched vocalizations produced by dogs, often characterized by their distinct patterns and rhythms.	
Gunshot, gunfire	The sharp, explosive sound produced by the discharge of a firearm, often accompanied by a loud report or crackling noise.	
Vacuum_cleaner	A cleaning device that uses suction to remove dirt and debris from floors and carpets, characterized by a loud, rhythmic sound.	
Engine	A mechanical device that converts chemical energy into mechanical energy, characterized by its humming, roaring, or buzzing sound.	
Video game/TV	An electronic device used for entertainment, characterized by a variety of sounds, including background music, sound effects, and dialogue.	
Skateboard	A board with wheels on which a person can perform tricks and maneuvers while moving on a smooth surface	
Crying_and_sobbing	The sound of a person crying, characterized by loud, high-pitched vocalizations and rapid, rhythmic breathing	
Buzz	A low-pitched, humming sound produced by the vibration of a small object, such as a bee or a motor	
Boat_and_Water_vehicle	The sound of a boat moving through water, characterized by its rhythmic splashing and slapping of waves against the sides of the hull.	
Vehicle horn, car horn, honking	The loud, high-pitched sound produced by a vehicle horn, often used to signal danger or alert other drivers.	
cutlery	The clinking and clattering sounds produced by cutlery, such as plates, glasses, and silverware, when they are being used or washed.	
Harmonica	A musical instrument that produces sound by the vibration of a reed when air is blown across it.	
Water tap, faucet	The sound of water flowing from a faucet, characterized by its steady, rhythmic flow and occasional splashing.	
Rattle_(instrument)	A percussion instrument that produces a sharp, metallic sound when shaken or struck, often used in jazz and Latin music.	
Tap	A short, sharp sound produced by striking a hard surface with a small object, such as a hammer or a finger.	
Gurgling, bubbling	A bubbling or gurgling sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling.	
window	A sound produced by the movement of air through a window, characterized by its high-pitched, metallic quality.	
chainsaw	A loud, rhythmic sound produced by the rapid rotation of a chainsaw blade, characterized by its high-pitched, whirring quality.	
glassbreak	A sharp, cracking sound produced by the breaking of glass, characterized by its high-pitched, shattering quality.	
car-horn	A loud, high-pitched sound produced by a car horn, often used to signal danger or attract attention.	
rain	The continuous, rhythmic sound of raindrops hitting a surface, characterized by its intensity and white noise-like qualities.	
announcement	A clear, authoritative voice that announces information or makes an announcement, often accompanied by background noise.	
Alarm clock	A device that produces a loud, repetitive sound to wake up people at a set time.	
Telephone	A device that produces a high-pitched, metallic sound when someone speaks into it, and a low-pitched, metallic sound when someone listens to it.	
Emergency vehicle	A vehicle that produces a loud, siren-like sound to alert people of an emergency situation.	
snoring	A low, rumbling sound produced by the passage of air through the nose and mouth during sleep, characterized by irregular breathing and a rough, gravelly quality.	
large-sounding-engine	A loud, powerful engine with a deep, resonant sound, often used in heavy machinery or vehicles.	
small-sounding-engine	A quieter, more efficient engine with a higher-pitched sound, often used in smaller vehicles or machinery.	
motorcycle/wheel_rolling	The rhythmic, metallic sound produced by the rotation of a motorcycle's wheels on a paved surface.	
water tap	The steady, dripping sound produced by a water tap when turned on.	
Child speech	The high-pitched, unpolished vocalizations produced by children, often characterized by their use of simple words and phrases.	
Train horn	A loud, continuous sound produced by a train's horn, often used to signal its approach or warning of its presence.	
Bark	The loud, sharp vocalizations produced by dogs, often used for communication or warning.	
Thunder	A loud, rumbling sound produced by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises.	
Sheep	A domesticated mammal known for its wool and meat, characterized by its bleating sound	
Chatter	The sound of people talking animatedly, characterized by overlapping speech and rapid, rhythmic exchanges of words.	
Glass chink, clink	The sharp, metallic sound produced by the collision of two or more glass objects, often accompanied by a ringing or tinkling quality.	
Vehicle	A mechanical device designed for transportation, characterized by its engine, wheels, and body, producing a continuous, rhythmic sound as it moves.	
pouring_water	The sound of liquid flowing from a container into another, characterized by its steady, splashing rhythm and the sound of the liquid hitting the surface.	
Power tool	A mechanical device used for cutting, drilling, or shaping materials, producing a high-pitched, whirring sound as it operates.	
Chicken_and_rooster	The distinct vocalizations produced by chickens and roosters, characterized by their high-pitched, rhythmic calls and chirps.	
Gasp	The sudden, sharp intake of air through the nose or mouth, often accompanied by a slight hiss or whistling sound.	
Boom	A loud, explosive sound often associated with gunfire or fireworks.	
Silence / background noise only	The absence of any discernible sound, often used as a reference point for other sounds.	
Crying, sobbing	The sound of tears falling from the eyes, characterized by a mournful, high-pitched vocalization.	
washing_machine	A machine used for washing clothes, characterized by a rhythmic, repetitive sound produced by the movement of water and fabric through a drum.	
Wind_chime	A musical instrument consisting of a series of metal tubes or rods suspended in the wind, producing a soft, melodic sound as the air blows through them.	
engine_idling	The sound produced by an engine when it is running at a low speed, characterized by a steady, low hum or buzz.	
Boat, Water vehicle	A watercraft designed for transportation or recreation on water, characterized by its buoyancy and propulsion mechanisms.	
Glass shatter	The sharp, cracking sound produced when glass is broken or shattered, often accompanied by a ringing or tinkling noise.	
Dog barking	A loud, sharp, and rhythmic vocalization produced by dogs, often used for communication, warning, or play.	
Heavy engine (low frequency)	A low-frequency sound produced by a heavy engine, characterized by its deep rumble and vibration.	
bus/engine_idling	The steady, low-frequency sound produced by a bus or engine when it is idling, often accompanied by a faint hum or buzz.	
Train	The continuous, rhythmic sound of a train's wheels on the tracks, often accompanied by the occasional clanging of the brakes.	
Smallenginge	A small, handheld musical instrument with a single string, typically played by plucking or strumming.	
Rattle (instrument)	A percussion instrument made of metal or wood, characterized by a sharp, metallic sound produced by shaking or striking.	
Toothbrush	A small handheld device used for cleaning teeth, characterized by a bristled head and a handle, producing a soft, bristly sound when used.	
Glass breaking	The sound of glass shattering into pieces, characterized by sharp, crackling noises.	
Car passing by	The continuous, rumbling sound of a car engine and tires on the road, often accompanied by the occasional screeching of brakes.	
Meow	The soft, melodic vocalization produced by a cat, characterized by short, high-pitched bursts of sound.	
Explosion	A sudden, loud, and sharp sound produced by the rapid expansion of air or other gases, often accompanied by a bright flash of light.	
children_playing	The joyful and energetic sounds produced by children playing, including laughter, shouts, and the clanging of toys.	
Gear	The metallic sounds produced by the movement of gears, often characterized by a rhythmic, grinding noise.	
Large crowd	A group of people making a loud, continuous noise, often characterized by shouting, chanting, and clapping.	
Electric shaver, electric razor	A device that produces a high-pitched, buzzing sound while cutting hair or facial hair.	
Growling	A low, rumbling sound produced by an animal, often associated with aggression or warning.	
Electric guitar	A stringed musical instrument that produces a sharp, twangy sound when the strings are strummed or plucked, often used in rock and pop music.	
Female speech, woman speaking	The vocalizations produced by a woman, characterized by distinct pitch, tone, and inflection, often used in conversation or public speaking.	
toilet_flush	The sound produced by the movement of water through a toilet bowl, characterized by a short, sharp, and rhythmic noise.	
